im9519498,楽祭ロゴ,酒呑みて　歌えや東方　楽しめば,ニコり祭りの　宴奏づる,期待値0,酒宴,syuen,-,-
im9519498,楽祭ロゴ,ロゴを見て　酒瓶見ようと　目をみやり,浮き立つ白線　東方の字,瞑想獅子,酒宴,syuen,-,-
im9519498,楽祭ロゴ,"寿げる　句々を重ねて　""よい""の宴",聞くも酒(さか)好き　重畳　々々,蛮菓,酒宴,syuen,-,-
im9519498,楽祭ロゴ,人妖集いて　盃交せば　それが宴の,開始の合図　（変化球で都々逸にしてみました）,キンジ,酒宴,syuen,-,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,銘々が　森に集いて　幻想の,<font color='red'>宴会</font>はじまり　笑顔花咲く,茶芭,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,<font color='red'>宴会</font>に　笑顔萃まる　夏の森,,伊賀高原,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,敷き花の　月光照らす　<font color='red'>宴会</font>と,人妖永久に　酌み交わさんと,期待値0,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,人の子も　鬼も怪異も　雑じり合ひ,宴をゆげする　晩夏のひと時,水炬,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,さぁ<font color='red'>宴会</font>　鬼の飲兵衛　縁萃め,揺れる瓢箪　友好の契り,瞑想獅子,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,<font color='red'>宴会</font>に　愁いあらじと　蛍雪の,淡いやうれし　瞳藍の君,蛮菓,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,夢まく゛ら　夢見る夢の　見せる夢,<font color='red'>宴会</font>、さた、かは　夢のまた夢,蛮菓,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,<font color='red'>宴会</font>の　響きに集う　輩（ともがら）よ,盃交わし　笑顔も交せ,キンジ,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,鬼娘　幾億懲りず　人萃め,酒掲げるは　<font color='red'>宴会</font>の鐘,ラウ,酒宴,syuen,『宴会』,-
im9543573,【東方ニコ楽祭・酒宴】森の宴会,人妖の　違い気にせず　酒に酔え,<font color='red'>宴会</font>始まりゃ　気にもなりゃせん,しなびたこんにゃくん,酒宴,syuen,『宴会』,-
im9555127,【東方ニコ楽祭・酒宴】花見酒,夏の夜に　咲く満開の　<font color='red'>空の花</font>,友呼びつけて飲む　空白むまで,茶芭,酒宴,syuen,『花火を肴に』『空の花』,-
im9555127,【東方ニコ楽祭・酒宴】花見酒,屋根に座し　鬼酌み交わす　<font color='red'>空の花</font>,,伊賀高原,酒宴,syuen,『花火を肴に』『空の花』,-
